
{ time: '12:37:04', cpu: 0.05, ram: 9.36, disk: 1, smart: 'OK', cpuTemp: 40.0, gpuTemp: 47, netRx: 0, netTx: 0 },
{ time: '12:37:05', cpu: 0, ram: 9.36, disk: 1, smart: 'OK', cpuTemp: 40.0, gpuTemp: 47, netRx: 1, netTx: 2 },
{ time: '12:37:06', cpu: 0.05, ram: 9.36, disk: 1, smart: 'OK', cpuTemp: 40.0, gpuTemp: 47, netRx: 0, netTx: 0 },
{ time: '12:37:07', cpu: 0, ram: 9.35, disk: 1, smart: 'OK', cpuTemp: 40.0, gpuTemp: 46, netRx: 0, netTx: 0 },
{ time: '12:37:08', cpu: 0.1, ram: 9.37, disk: 1, smart: 'OK', cpuTemp: 40.0, gpuTemp: 46, netRx: 0, netTx: 2 },
{ time: '12:37:09', cpu: 0.1, ram: 9.36, disk: 1, smart: 'OK', cpuTemp: 40.0, gpuTemp: 46, netRx: 0, netTx: 0 },
{ time: '12:37:10', cpu: 0, ram: 9.37, disk: 1, smart: 'OK', cpuTemp: 40.0, gpuTemp: 46, netRx: 0, netTx: 0 },
{ time: '12:37:11', cpu: 0, ram: 9.37, disk: 1, smart: 'OK', cpuTemp: 40.0, gpuTemp: 46, netRx: 1, netTx: 2 },
{ time: '12:37:12', cpu: 0, ram: 9.36, disk: 1, smart: 'OK', cpuTemp: 40.0, gpuTemp: 46, netRx: 0, netTx: 0 },
{ time: '12:37:13', cpu: 0, ram: 9.37, disk: 1, smart: 'OK', cpuTemp: 40.0, gpuTemp: 46, netRx: 0, netTx: 2 },
{ time: '12:37:14', cpu: 0, ram: 9.37, disk: 1, smart: 'OK', cpuTemp: 40.0, gpuTemp: 46, netRx: 0, netTx: 0 },
{ time: '12:37:15', cpu: 0, ram: 9.37, disk: 1, smart: 'OK', cpuTemp: 40.0, gpuTemp: 46, netRx: 0, netTx: 0 },
{ time: '12:37:16', cpu: 0.05, ram: 9.37, disk: 1, smart: 'OK', cpuTemp: 40.0, gpuTemp: 46, netRx: 0, netTx: 2 },
{ time: '12:37:17', cpu: 0, ram: 9.35, disk: 1, smart: 'OK', cpuTemp: 40.0, gpuTemp: 46, netRx: 0, netTx: 0 },
{ time: '12:37:19', cpu: 0.4, ram: 9.26, disk: 1, smart: 'OK', cpuTemp: 40.2, gpuTemp: 46, netRx: 0, netTx: 0 },
{ time: '12:37:20', cpu: 0.05, ram: 9.26, disk: 1, smart: 'OK', cpuTemp: 40.0, gpuTemp: 46, netRx: 0, netTx: 2 },
{ time: '12:37:21', cpu: 0.05, ram: 9.26, disk: 1, smart: 'OK', cpuTemp: 40.0, gpuTemp: 46, netRx: 0, netTx: 0 },
{ time: '12:37:22', cpu: 0, ram: 9.26, disk: 1, smart: 'OK', cpuTemp: 40.0, gpuTemp: 46, netRx: 0, netTx: 0 },
{ time: '12:37:23', cpu: 0.15, ram: 9.27, disk: 1, smart: 'OK', cpuTemp: 40.1, gpuTemp: 46, netRx: 0, netTx: 0 },
{ time: '12:37:24', cpu: 0, ram: 9.26, disk: 1, smart: 'OK', cpuTemp: 40.0, gpuTemp: 46, netRx: 0, netTx: 0 },
{ time: '12:37:25', cpu: 0, ram: 9.25, disk: 1, smart: 'OK', cpuTemp: 40.0, gpuTemp: 46, netRx: 0, netTx: 0 },
